"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs9957145-<b>G</b>,"8 x 10-9",,0.829,1.05,'-,[1.03-1.07],"GRP, SEC11C","Type 2 diabetes","type II diabetes mellitus",GCST009379,18:59208996
rs523288-<b>T</b>,"8 x 10-13",,0.2377,1.05,'-,[1.04-1.07],RNU4-17P,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:60181136
rs74452128-<b>C</b>,"1 x 10-9",,0.9763,1.15,'-,[1.10-1.20],MC4R,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:60389333
rs10469140-<b>G</b>,"7 x 10-6",,0.4849,1.03,'-,[1.02-1.04],PHLPP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:63001037
rs12454712-<b>T</b>,"5 x 10-13",,0.6142,1.05,'-,[1.04-1.06],BCL2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:63178651
rs7249758-<b>A</b>,"3 x 10-9",,0.2039,1.05,'-,[1.03-1.07],UHRF1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:4948850
rs116953931-<b>A</b>,"6 x 10-6",,0.0371,1.08,'-,[1.04-1.12],PTPRS,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:5224987
rs75253922-<b>C</b>,"3 x 10-8",,0.1909,1.05,'-,[1.03-1.06],INSR,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:7240837
rs4804833-<b>A</b>,"8 x 10-13",,0.3902,1.05,'-,[1.03-1.06],MAP2K7,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:7905750
rs755734872-<b>T</b>,"8 x 10-6",,5.0E-4,2.37,'-,[1.62-3.46],"RTBDN, HOOK2","Type 2 diabetes","type II diabetes mellitus",GCST009379,19:12827657
rs3111316-<b>A</b>,"6 x 10-13",,0.5885,1.05,'-,[1.03-1.06],FARSA,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:12927601
rs8107974-<b>T</b>,"3 x 10-15",,0.0769,1.1,'-,[1.07-1.12],SUGP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:19277691
rs9828772-<b>C</b>,"4 x 10-8",,0.8983,1.06,'-,[1.04-1.08],"TMCC1, PLXND1","Type 2 diabetes","type II diabetes mellitus",GCST009379,3:129614339
rs559138871-<b>T</b>,"7 x 10-6",,0.002,1.49,'-,[1.25-1.77],TMCC1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:129751224
rs62271373-<b>A</b>,"1 x 10-9",,0.0553,1.09,'-,[1.06-1.12],"TSC22D2, LINC01214","Type 2 diabetes","type II diabetes mellitus",GCST009379,3:150348753
rs13065698-<b>A</b>,"8 x 10-13",,0.6002,1.05,'-,[1.03-1.06],MBNL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:152368744
rs74653713-<b>C</b>,"1 x 10-8",,0.9571,1.1,'-,[1.06-1.13],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:152700092
rs35497231-<b>C</b>,"8 x 10-8",,0.3169,1.04,'-,[1.02-1.05],ATP5MGP5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:152715839
rs7629630-<b>A</b>,"3 x 10-8",,0.8567,1.05,'-,[1.03-1.07],EGFEM1P,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:168501053
rs9873618-<b>G</b>,"5 x 10-21",,0.71,1.07,'-,[1.05-1.08],SLC2A2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:171015287
rs2872246-<b>A</b>,"2 x 10-8",,0.4538,1.04,'-,[1.02-1.05],"ABCC5, EEF1A1P8","Type 2 diabetes","type II diabetes mellitus",GCST009379,3:184020672
rs6780171-<b>A</b>,"9 x 10-56",,0.3138,1.14,'-,[1.12-1.16],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:185785668
rs150111048-<b>G</b>,"3 x 10-7",,0.2388,1.12,'-,[1.07-1.16],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:185796633
rs11717959-<b>G</b>,"3 x 10-6",,0.6208,1.04,'-,[1.02-1.06],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:185823425
rs1516728-<b>A</b>,"6 x 10-6",,0.759,1.03,'-,[1.02-1.05],DGKG,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:186112102
rs3887925-<b>T</b>,"3 x 10-22",,0.5468,1.07,'-,[1.05-1.08],ST6GAL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:186947857
rs7645517-<b>A</b>,"3 x 10-8",,0.0576,1.08,'-,[1.05-1.11],ST6GAL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:186957489
rs4686471-<b>C</b>,"2 x 10-20",,0.6104,1.06,'-,[1.05-1.08],LINC01991,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:188023111
rs111827885-<b>C</b>,"8 x 10-6",,0.0156,1.18,'-,[1.10-1.27],"TMEM271, PDE6B","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:622819
rs1531583-<b>T</b>,"4 x 10-14",,0.0458,1.13,'-,[1.09-1.16],PCGF3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:751184
rs35654957-<b>C</b>,"4 x 10-7",,0.367,1.03,'-,[1.02-1.05],FGFRL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:1016289
rs56337234-<b>C</b>,"9 x 10-18",,0.5026,1.06,'-,[1.04-1.07],"FGFR3, TACC3","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:1782676
rs362307-<b>T</b>,"1 x 10-9",,0.0768,1.08,'-,[1.05-1.10],HTT,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:3240118
rs1801212-<b>A</b>,"5 x 10-6",,0.7087,1.05,'-,[1.03-1.07],WFS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:6300792
rs10937721-<b>C</b>,"2 x 10-8",,0.588,1.06,'-,[1.04-1.08],"PPP2R2C, WFS1","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:6305036
rs12640250-<b>C</b>,"4 x 10-8",,0.7149,1.04,'-,[1.03-1.05],"DCAF16, FAM184B","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:17791246
rs10938398-<b>A</b>,"4 x 10-12",,0.4289,1.05,'-,[1.03-1.06],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:45184122
rs2431115-<b>A</b>,"4 x 10-10",,0.4015,1.04,'-,[1.03-1.06],C5orf67,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:56552842
rs9687832-<b>A</b>,"2 x 10-20",,0.1975,1.08,'-,[1.06-1.10],C5orf67,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:56565768
rs96844-<b>G</b>,"5 x 10-8",,0.2622,1.04,'-,[1.03-1.05],"SETD9, MAP3K1","Type 2 diabetes","type II diabetes mellitus",GCST009379,5:56900777
rs2307111-<b>T</b>,"2 x 10-16",,0.6053,1.05,'-,[1.04-1.07],POC5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:75707853
rs1316776-<b>C</b>,"3 x 10-12",,0.6476,1.05,'-,[1.03-1.06],DMGDH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:79134784
rs78408340-<b>G</b>,"2 x 10-24",,0.0083,1.47,'-,[1.37-1.59],PAM,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:103003035
rs115505614-<b>T</b>,"1 x 10-30",,0.0499,1.19,'-,[1.15-1.22],GIN1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:103087264
rs601945-<b>G</b>,"5 x 10-8",,0.1775,1.06,'-,[1.04-1.08],"HLA-DQA1, HLA-DRB1","Type 2 diabetes","type II diabetes mellitus",GCST009379,6:32605638
rs34298980-<b>T</b>,"9 x 10-10",,0.4967,1.04,'-,[1.03-1.05],LRFN2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:40441504
rs11967262-<b>G</b>,"9 x 10-10",,0.4855,1.04,'-,[1.03-1.05],"VEGFA, LINC02537","Type 2 diabetes","type II diabetes mellitus",GCST009379,6:43792590
rs4457053-<b>G</b>,"8 x 10-18",,0.3036,1.06,'-,[1.05-1.08],ZBED3-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:77129124
rs7719891-<b>G</b>,"2 x 10-8",,0.2585,1.04,'-,[1.03-1.06],RASA1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:87281535
rs138337556-<b>G</b>,"5 x 10-9",,0.0036,1.56,'-,[1.34-1.81],OR7H2P,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:101897240
rs329122-<b>A</b>,"4 x 10-9",,0.4286,1.04,'-,[1.03-1.05],JADE2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:134528909
rs112498319-<b>C</b>,"4 x 10-7",,0.4085,1.03,'-,[1.02-1.05],"RREB1, RN7SL554P","Type 2 diabetes","type II diabetes mellitus",GCST009379,6:7035501
rs9379084-<b>G</b>,"3 x 10-21",,0.8873,1.11,'-,[1.08-1.13],RREB1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:7231610
rs9505097-<b>C</b>,"9 x 10-10",,0.7994,1.05,'-,[1.03-1.07],"RREB1, SSR1","Type 2 diabetes","type II diabetes mellitus",GCST009379,6:7255417
rs7756992-<b>G</b>,"2 x 10-88",,0.2735,1.15,'-,[1.13-1.17],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,"Mapping not available"
rs6458354-<b>C</b>,"2 x 10-12",,0.289,1.05,'-,[1.04-1.07],LINC02537,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:43846453
rs3798519-<b>C</b>,"3 x 10-12",,0.1844,1.06,'-,[1.04-1.08],TFAP2B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:50821065
rs2465043-<b>G</b>,"3 x 10-6",,0.6441,1.03,'-,[1.02-1.04],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:51315967
rs555402748-<b>T</b>,"5 x 10-8",,4.0E-4,3.67,'-,[2.30-5.86],RNU7-66P,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:66677597
rs4946812-<b>G</b>,"8 x 10-9",,0.6743,1.04,'-,[1.03-1.05],BEND3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:107110484
rs11759026-<b>G</b>,"2 x 10-18",,0.2321,1.07,'-,[1.05-1.08],MIR588,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:126470949
rs2800733-<b>A</b>,"6 x 10-11",,0.7165,1.05,'-,[1.03-1.06],RSPO3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:127095785
rs2066827-<b>G</b>,"4 x 10-8",,0.235,1.05,'-,[1.03-1.06],CDKN1B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:12718165
rs718314-<b>G</b>,"8 x 10-11",,0.2532,1.05,'-,[1.03-1.06],"SSPN, ITPR2","Type 2 diabetes","type II diabetes mellitus",GCST009379,12:26300350
rs10842994-<b>C</b>,"4 x 10-20",,0.8054,1.08,'-,[1.06-1.09],RN7SKP15,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:27812217
rs2258238-<b>T</b>,"5 x 10-21",,0.1042,1.1,'-,[1.08-1.13],HMGA2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:65827280
rs1042725-<b>T</b>,"2 x 10-13",,0.4902,1.05,'-,[1.03-1.06],HMGA2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:65964567
rs1796330-<b>G</b>,"2 x 10-14",,0.5711,1.05,'-,[1.04-1.06],TSPAN8,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:71129173
rs2197973-<b>T</b>,"4 x 10-8",,0.5375,1.04,'-,[1.02-1.05],USP44,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:95534784
rs759111467-<b>A</b>,"2 x 10-6",,3.0E-4,3.07,'-,[1.94-4.85],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:97168978
rs557027608-<b>A</b>,"3 x 10-7",,6.0E-4,2.34,'-,[1.69-3.24],RMST,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:97385470
rs77864822-<b>A</b>,"1 x 10-8",,0.9324,1.08,'-,[1.05-1.11],RMST,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:97454997
rs1426371-<b>G</b>,"8 x 10-12",,0.7389,1.05,'-,[1.04-1.07],WSCD2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:108236003
rs34965774-<b>A</b>,"2 x 10-9",,0.1438,1.06,'-,[1.04-1.08],"KSR2, RFC5","Type 2 diabetes","type II diabetes mellitus",GCST009379,12:117974568
rs12578639-<b>A</b>,"2 x 10-6",,0.8278,1.04,'-,[1.02-1.06],WSB2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:118051831
rs11065299-<b>A</b>,"6 x 10-7",,0.0754,1.06,'-,[1.04-1.09],SPPL3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:120860012
rs73226260-<b>G</b>,"6 x 10-11",,0.9669,1.13,'-,[1.09-1.17],HNF1A-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:120942738
rs1800574-<b>T</b>,"2 x 10-12",,0.0296,1.14,'-,[1.10-1.19],"HNF1A-AS1, HNF1A","Type 2 diabetes","type II diabetes mellitus",GCST009379,12:120979061
rs56348580-<b>G</b>,"2 x 10-13",,0.6889,1.05,'-,[1.04-1.07],HNF1A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:120994314
rs28638142-<b>A</b>,"3 x 10-6",,0.0442,1.08,'-,[1.04-1.11],"SNORA70, OASL2P","Type 2 diabetes","type II diabetes mellitus",GCST009379,12:121063658
rs73224262-<b>T</b>,"9 x 10-7",,0.0068,1.24,'-,[1.14-1.34],KDM2B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:121444592
rs4148856-<b>C</b>,"2 x 10-10",,0.7814,1.05,'-,[1.03-1.07],ABCB9,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:122966218
rs12811407-<b>A</b>,"2 x 10-12",,0.3305,1.05,'-,[1.04-1.07],FBRSL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,12:132493112
rs34584161-<b>A</b>,"2 x 10-10",,0.7598,1.05,'-,[1.03-1.06],RNF6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:26202862
rs11842871-<b>G</b>,"1 x 10-8",,0.7345,1.04,'-,[1.03-1.06],HMGB1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:30468315
rs576674-<b>G</b>,"8 x 10-10",,0.1694,1.05,'-,[1.04-1.07],"KL, TOMM22P3","Type 2 diabetes","type II diabetes mellitus",GCST009379,13:32980164
rs963740-<b>A</b>,"2 x 10-8",,0.7128,1.04,'-,[1.03-1.05],"DLEU7, DLEU1","Type 2 diabetes","type II diabetes mellitus",GCST009379,13:50521959
rs9537803-<b>C</b>,"5 x 10-8",,0.2771,1.04,'-,[1.03-1.06],PCDH17,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:57792500
rs9569864-<b>C</b>,"9 x 10-8",,0.8247,1.05,'-,[1.03-1.06],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:58391301
rs9563615-<b>A</b>,"6 x 10-11",,0.7101,1.05,'-,[1.03-1.06],RNY4P29,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:58503272
rs76251711-<b>G</b>,"2 x 10-6",,0.0126,1.16,'-,[1.09-1.23],CTAGE16P,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:58610100
rs1359790-<b>G</b>,"2 x 10-31",,0.7201,1.09,'-,[1.07-1.10],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:80143021
rs7987740-<b>T</b>,"4 x 10-8",,0.6094,1.04,'-,[1.02-1.05],LINC00370,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:109294865
rs4771648-<b>G</b>,"9 x 10-8",,0.6685,1.04,'-,[1.02-1.05],IRS2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,13:109779279
rs17122772-<b>G</b>,"2 x 10-8",,0.228,1.04,'-,[1.03-1.06],SLC7A7,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:22819726
rs17522122-<b>T</b>,"3 x 10-9",,0.4742,1.04,'-,[1.03-1.05],AKAP6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:32833676
rs8017808-<b>G</b>,"2 x 10-8",,0.7431,1.04,'-,[1.03-1.06],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:38379215
rs17836088-<b>C</b>,"7 x 10-14",,0.2171,1.06,'-,[1.04-1.08],NRXN3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:79465698
rs8010382-<b>G</b>,"7 x 10-9",,0.4214,1.04,'-,[1.03-1.05],PPP4R3A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:91497378
rs62007683-<b>G</b>,"3 x 10-8",,0.6532,1.04,'-,[1.02-1.05],MARK3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,14:103427734
rs8032939-<b>C</b>,"4 x 10-14",,0.246,1.06,'-,[1.04-1.07],RASGRP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:38541832
rs34715063-<b>C</b>,"2 x 10-19",,0.1235,1.1,'-,[1.07-1.12],"LINC02694, RASGRP1","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:38580914
rs11070332-<b>A</b>,"1 x 10-13",,0.3578,1.05,'-,[1.04-1.06],"RPAP1, LTK","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:41517007
rs543786825-<b>T</b>,"5 x 10-6",,4.0E-4,3.15,'-,[1.93-5.15],EHD4,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:41909212
rs2456530-<b>T</b>,"5 x 10-9",,0.1272,1.06,'-,[1.04-1.08],"ONECUT1, RPSAP55","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:52799356
rs528350911-<b>G</b>,"2 x 10-8",,0.0068,1.27,'-,[1.17-1.38],WDR72,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:53455031
rs117483894-<b>G</b>,"4 x 10-8",,0.0369,1.1,'-,[1.06-1.13],TCF12,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:57164604
rs8037894-<b>G</b>,"3 x 10-13",,0.5663,1.05,'-,[1.03-1.06],"NPM1P47, C2CD4B","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:62102065
rs7178762-<b>C</b>,"5 x 10-10",,0.4595,1.04,'-,[1.03-1.05],"USP3, USP3-AS1","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:63579093
rs4776970-<b>A</b>,"5 x 10-9",,0.6406,1.04,'-,[1.03-1.05],MAP2K5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:67788548
rs13737-<b>G</b>,"6 x 10-10",,0.7586,1.05,'-,[1.03-1.06],IMP3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,15:75639788
rs1005752-<b>A</b>,"3 x 10-29",,0.7154,1.08,'-,[1.07-1.10],"LINGO1, HMG20A","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:77525786
rs9494624-<b>A</b>,"6 x 10-9",,0.2899,1.04,'-,[1.03-1.06],"RPL35AP3, NHEG1","Type 2 diabetes","type II diabetes mellitus",GCST009379,6:136979823
rs474513-<b>A</b>,"8 x 10-10",,0.5169,1.04,'-,[1.03-1.05],SLC22A3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:160349280
rs4709746-<b>C</b>,"6 x 10-9",,0.8676,1.06,'-,[1.04-1.08],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,6:163711969
rs17168486-<b>T</b>,"2 x 10-17",,0.1808,1.07,'-,[1.06-1.09],DGKB,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:14858657
rs10228066-<b>T</b>,"1 x 10-28",,0.5373,1.07,'-,[1.06-1.09],GTF3AP5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:15023944
rs2908334-<b>T</b>,"6 x 10-6",,0.6308,1.03,'-,[1.02-1.04],AGMO,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:15166614
rs78840640-<b>G</b>,"3 x 10-6",,0.022,1.11,'-,[1.06-1.16],IGF2BP3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:23394987
rs4279506-<b>G</b>,"5 x 10-8",,0.6102,1.06,'-,[1.04-1.08],"RPS2P32, IGF2BP3","Type 2 diabetes","type II diabetes mellitus",GCST009379,7:23473277
rs1708302-<b>C</b>,"1 x 10-48",,0.5124,1.1,'-,[1.08-1.11],JAZF1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:28159058
rs917195-<b>C</b>,"4 x 10-11",,0.77,1.05,'-,[1.04-1.07],CRHR2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:30688836
rs878521-<b>A</b>,"2 x 10-13",,0.2451,1.06,'-,[1.04-1.07],"CAMK2B, YKT6","Type 2 diabetes","type II diabetes mellitus",GCST009379,7:44216044
rs116913033-<b>C</b>,"7 x 10-6",,0.83,1.04,'-,[1.02-1.06],CAMK2B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:44325950
rs56376556-<b>T</b>,"2 x 10-6",,0.0533,1.08,'-,[1.04-1.11],PRKRIP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:102397871
rs11496066-<b>T</b>,"1 x 10-8",,0.8181,1.08,'-,[1.05-1.11],FBXL13,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:102845807
rs62482405-<b>G</b>,"7 x 10-6",,0.0819,1.05,'-,[1.03-1.08],PSMC2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:103347136
rs39328-<b>T</b>,"4 x 10-8",,0.4334,1.04,'-,[1.02-1.05],RELN,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:103804531
rs6976111-<b>A</b>,"1 x 10-8",,0.3127,1.04,'-,[1.03-1.06],CTTNBP2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:117855613
rs2268382-<b>C</b>,"7 x 10-6",,0.3271,1.03,'-,[1.02-1.04],CPA1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:130387196
rs1562396-<b>G</b>,"1 x 10-17",,0.3186,1.06,'-,[1.05-1.08],"H4P1, KLF14","Type 2 diabetes","type II diabetes mellitus",GCST009379,7:130773155
rs62492368-<b>A</b>,"1 x 10-10",,0.3081,1.05,'-,[1.03-1.06],AOC1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:150840547
rs6459733-<b>G</b>,"2 x 10-17",,0.6729,1.06,'-,[1.05-1.07],UBE3C,"Type 2 diabetes","type II diabetes mellitus",GCST009379,7:157137856
rs17689007-<b>G</b>,"3 x 10-9",,0.5329,1.04,'-,[1.03-1.05],MSRA,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:10117314
rs57327348-<b>A</b>,"5 x 10-8",,0.782,1.04,'-,[1.02-1.06],XKR6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:10951177
rs10096633-<b>C</b>,"1 x 10-12",,0.8766,1.07,'-,[1.05-1.09],LPL,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:19973410
rs10954772-<b>T</b>,"2 x 10-9",,0.3135,1.04,'-,[1.03-1.06],PURG,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:31006422
rs4932265-<b>T</b>,"4 x 10-20",,0.2672,1.07,'-,[1.05-1.08],"AP3S2, ARPIN-AP3S2","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:89880061
rs12910825-<b>G</b>,"2 x 10-15",,0.3612,1.05,'-,[1.04-1.07],"PRC1-AS1, PRC1","Type 2 diabetes","type II diabetes mellitus",GCST009379,15:90968030
rs6600191-<b>T</b>,"9 x 10-13",,0.8246,1.06,'-,[1.05-1.08],FAM234A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:245796
rs3751837-<b>T</b>,"1 x 10-8",,0.22,1.04,'-,[1.03-1.06],CLUAP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:3533173
rs8046545-<b>G</b>,"2 x 10-8",,0.3589,1.04,'-,[1.02-1.05],ATP2A1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:28903896
rs11642430-<b>G</b>,"2 x 10-9",,0.399,1.04,'-,[1.03-1.05],TLCD3B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:30034468
rs199795270-<b>C</b>,"1 x 10-6",,0.0065,1.25,'-,[1.14-1.36],ZNF771,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:30408063
rs4281707-<b>G</b>,"3 x 10-10",,0.5442,1.04,'-,[1.03-1.05],RBL2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:53468034
rs78020297-<b>A</b>,"7 x 10-9",,0.0517,1.09,'-,[1.06-1.12],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:53724808
rs1421085-<b>C</b>,"3 x 10-84",,0.415,1.13,'-,[1.12-1.15],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:53767042
rs862320-<b>C</b>,"4 x 10-11",,0.5783,1.04,'-,[1.03-1.06],NFAT5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:69617963
rs72802342-<b>C</b>,"4 x 10-32",,0.9231,1.17,'-,[1.14-1.20],"ZFP1, CTRB2","Type 2 diabetes","type II diabetes mellitus",GCST009379,16:75200974
rs3115960-<b>G</b>,"3 x 10-6",,0.37,1.03,'-,[1.02-1.05],CHST6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:75482636
rs2925979-<b>T</b>,"1 x 10-14",,0.2996,1.05,'-,[1.04-1.07],CMIP,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:81501185
rs12920022-<b>A</b>,"3 x 10-9",,0.1575,1.05,'-,[1.04-1.07],SPG7,"Type 2 diabetes","type II diabetes mellitus",GCST009379,16:89497647
rs1043246-<b>G</b>,"8 x 10-7",,0.1568,1.05,'-,[1.03-1.07],ATP2A3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:3924792
rs3826482-<b>A</b>,"2 x 10-7",,0.5756,1.03,'-,[1.02-1.05],ATP2A3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:3957062
rs1377807-<b>C</b>,"4 x 10-13",,0.3118,1.05,'-,[1.04-1.07],ZZEF1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:4142146
rs7222481-<b>C</b>,"1 x 10-8",,0.3238,1.04,'-,[1.03-1.05],GLP2R,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:9881870
rs4925109-<b>A</b>,"3 x 10-12",,0.3164,1.05,'-,[1.03-1.06],RAI1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:17758488
rs71372253-<b>C</b>,"4 x 10-8",,0.0642,1.08,'-,[1.05-1.10],"RNF135, MIR4733HG","Type 2 diabetes","type II diabetes mellitus",GCST009379,17:31086001
rs10962-<b>C</b>,"1 x 10-9",,0.2257,1.05,'-,[1.03-1.07],HNF1B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:37686448
rs2189301-<b>G</b>,"7 x 10-8",,0.8716,1.05,'-,[1.03-1.08],HNF1B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:37703678
rs10908278-<b>T</b>,"6 x 10-36",,0.4808,1.08,'-,[1.07-1.10],HNF1B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:37739961
